timestamp,device,gpu_use_percent,gfx_activity,vram_total_bytes,vram_used_bytes
1754586662,card0,0,108945705,206141652992,297771008
1754586662,card1,0,62276915,206141652992,297771008
1754586662,card2,0,58920647,206141652992,297771008
1754586662,card3,0,58892438,206141652992,297771008
1754586662,card4,0,56756483,206141652992,297771008
1754586662,card5,0,56852513,206141652992,297771008
1754586662,card6,0,56724673,206141652992,297771008
1754586662,card7,0,56702185,206141652992,297771008
1754586662,
1754586667,card0,0,108945705,206141652992,297771008
1754586667,card1,0,62276915,206141652992,297771008
1754586667,card2,0,58920647,206141652992,297771008
1754586667,card3,0,58892438,206141652992,297771008
1754586667,card4,0,56756483,206141652992,297771008
1754586667,card5,0,56852513,206141652992,297771008
1754586667,card6,0,56724673,206141652992,297771008
1754586667,card7,0,56702185,206141652992,297771008
1754586667,
1754586672,card0,0,108945876,206141652992,297877504
1754586672,card1,0,62277103,206141652992,297877504
1754586672,card2,0,58920832,206141652992,297877504
1754586672,card3,0,58892623,206141652992,297877504
1754586672,card4,0,56756665,206141652992,297877504
1754586672,card5,0,56852693,206141652992,297877504
1754586672,card6,0,56724846,206141652992,297877504
1754586672,card7,0,56702353,206141652992,297877504
1754586672,
1754586677,card0,0,108945876,206141652992,297877504
1754586677,card1,0,62277103,206141652992,297877504
1754586677,card2,0,58920832,206141652992,297877504
1754586677,card3,0,58892623,206141652992,297877504
1754586677,card4,0,56756665,206141652992,297877504
1754586677,card5,0,56852693,206141652992,297877504
1754586677,card6,0,56724846,206141652992,297877504
1754586677,card7,0,56702353,206141652992,297877504
1754586677,
1754586683,card0,0,108946060,206141652992,297955328
1754586683,card1,0,62277288,206141652992,297955328
1754586683,card2,0,58921019,206141652992,297955328
1754586683,card3,0,58892813,206141652992,297955328
1754586683,card4,0,56756839,206141652992,297955328
1754586683,card5,0,56852871,206141652992,297955328
1754586683,card6,0,56725024,206141652992,297955328
1754586683,card7,0,56702522,206141652992,297955328
1754586683,
1754586688,card0,0,108946060,206141652992,297955328
1754586688,card1,0,62277288,206141652992,297955328
1754586688,card2,0,58921019,206141652992,297955328
1754586688,card3,0,58892813,206141652992,297955328
1754586688,card4,0,56756839,206141652992,297955328
1754586688,card5,0,56852871,206141652992,297955328
1754586688,card6,0,56725024,206141652992,297955328
1754586688,card7,0,56702522,206141652992,297955328
1754586688,
1754586693,card0,2,108946664,206141652992,297877504
1754586693,card1,2,62277888,206141652992,297877504
1754586693,card2,2,58921623,206141652992,297877504
1754586693,card3,2,58893426,206141652992,297877504
1754586693,card4,2,56757392,206141652992,297877504
1754586693,card5,2,56853462,206141652992,297877504
1754586693,card6,2,56725624,206141652992,297877504
1754586693,card7,2,56703103,206141652992,297877504
1754586693,
1754586698,card0,0,108956566,206141652992,21296148480
1754586698,card1,0,62277888,206141652992,297984000
1754586698,card2,0,58921623,206141652992,297984000
1754586698,card3,0,58893426,206141652992,297984000
1754586698,card4,0,56757392,206141652992,297984000
1754586698,card5,0,56853462,206141652992,297984000
1754586698,card6,0,56725624,206141652992,297984000
1754586698,card7,0,56703103,206141652992,297984000
1754586698,
1754586703,card0,0,108956566,206141652992,21296148480
1754586703,card1,0,62277888,206141652992,297984000
1754586703,card2,0,58921623,206141652992,297984000
1754586703,card3,0,58893426,206141652992,297984000
1754586703,card4,0,56757392,206141652992,297984000
1754586703,card5,0,56853462,206141652992,297984000
1754586703,card6,0,56725624,206141652992,297984000
1754586703,card7,0,56703103,206141652992,297984000
1754586703,
1754586708,card0,0,108957981,206141652992,22590742528
1754586708,card1,0,62277888,206141652992,297988096
1754586708,card2,0,58921623,206141652992,297988096
1754586708,card3,0,58893426,206141652992,297988096
1754586708,card4,0,56757392,206141652992,297988096
1754586708,card5,0,56853462,206141652992,297988096
1754586708,card6,0,56725624,206141652992,297988096
1754586708,card7,0,56703103,206141652992,297988096
1754586708,
1754586713,card0,0,109002215,206141652992,23110967296
1754586713,card1,0,62277888,206141652992,297988096
1754586713,card2,0,58921623,206141652992,297988096
1754586713,card3,0,58893426,206141652992,297988096
1754586713,card4,0,56757392,206141652992,297988096
1754586713,card5,0,56853462,206141652992,297988096
1754586713,card6,0,56725624,206141652992,297988096
1754586713,card7,0,56703103,206141652992,297988096
1754586713,
1754586719,card0,3,109070245,206141652992,23111127040
1754586719,card1,0,62277888,206141652992,297996288
1754586719,card2,0,58921623,206141652992,297996288
1754586719,card3,0,58893426,206141652992,297996288
1754586719,card4,0,56757392,206141652992,297996288
1754586719,card5,0,56853462,206141652992,297996288
1754586719,card6,0,56725624,206141652992,297996288
1754586719,card7,0,56703103,206141652992,297996288
1754586719,
1754586724,card0,16,109404284,206141652992,150564036608
1754586724,card1,0,62277888,206141652992,298061824
1754586724,card2,0,58921623,206141652992,298061824
1754586724,card3,0,58893426,206141652992,298061824
1754586724,card4,0,56757392,206141652992,298061824
1754586724,card5,0,56853462,206141652992,298061824
1754586724,card6,0,56725624,206141652992,298061824
1754586724,card7,0,56703103,206141652992,298061824
1754586724,
1754586729,card0,0,109433830,206141652992,151056211968
1754586729,card1,0,62277888,206141652992,298074112
1754586729,card2,0,58921623,206141652992,298074112
1754586729,card3,0,58893426,206141652992,298074112
1754586729,card4,0,56757392,206141652992,298074112
1754586729,card5,0,56853462,206141652992,298074112
1754586729,card6,0,56725624,206141652992,298074112
1754586729,card7,0,56703103,206141652992,298074112
1754586729,
1754586734,card0,0,109433830,206141652992,151056211968
1754586734,card1,0,62277888,206141652992,298074112
1754586734,card2,0,58921623,206141652992,298074112
1754586734,card3,0,58893426,206141652992,298074112
1754586734,card4,0,56757392,206141652992,298074112
1754586734,card5,0,56853462,206141652992,298074112
1754586734,card6,0,56725624,206141652992,298074112
1754586734,card7,0,56703103,206141652992,298074112
1754586734,
1754586739,card0,0,109433830,206141652992,151056211968
1754586739,card1,0,62277888,206141652992,298074112
1754586739,card2,0,58921623,206141652992,298074112
1754586739,card3,0,58893426,206141652992,298074112
1754586739,card4,0,56757392,206141652992,298074112
1754586739,card5,0,56853462,206141652992,298074112
1754586739,card6,0,56725624,206141652992,298074112
1754586739,card7,0,56703103,206141652992,298074112
1754586739,
1754586744,card0,0,109433830,206141652992,151056211968
