timestamp,device,temp_edge_celsius,temp_junction_celsius
1754586662,card0,52.0,46.0
1754586662,card1,47.0,38.0
1754586662,card2,46.0,40.0
1754586662,card3,50.0,42.0
1754586662,card4,47.0,41.0
1754586662,card5,45.0,38.0
1754586662,card6,47.0,42.0
1754586662,card7,44.0,38.0
1754586662,
1754586667,card0,52.0,45.0
1754586667,card1,47.0,38.0
1754586667,card2,46.0,40.0
1754586667,card3,50.0,42.0
1754586667,card4,47.0,41.0
1754586667,card5,45.0,39.0
1754586667,card6,47.0,42.0
1754586667,card7,44.0,38.0
1754586667,
1754586672,card0,52.0,45.0
1754586672,card1,47.0,38.0
1754586672,card2,46.0,40.0
1754586672,card3,50.0,42.0
1754586672,card4,47.0,41.0
1754586672,card5,45.0,38.0
1754586672,card6,48.0,42.0
1754586672,card7,44.0,38.0
1754586672,
1754586677,card0,52.0,45.0
1754586677,card1,47.0,38.0
1754586677,card2,46.0,40.0
1754586677,card3,50.0,42.0
1754586677,card4,48.0,42.0
1754586677,card5,46.0,38.0
1754586677,card6,48.0,42.0
1754586677,card7,44.0,38.0
1754586677,
1754586683,card0,52.0,45.0
1754586683,card1,47.0,39.0
1754586683,card2,47.0,40.0
1754586683,card3,51.0,42.0
1754586683,card4,48.0,42.0
1754586683,card5,46.0,38.0
1754586683,card6,48.0,42.0
1754586683,card7,44.0,38.0
1754586683,
1754586688,card0,52.0,45.0
1754586688,card1,47.0,38.0
1754586688,card2,47.0,40.0
1754586688,card3,51.0,42.0
1754586688,card4,48.0,42.0
1754586688,card5,46.0,39.0
1754586688,card6,48.0,43.0
1754586688,card7,45.0,38.0
1754586688,
1754586693,card0,52.0,45.0
1754586693,card1,47.0,39.0
1754586693,card2,47.0,41.0
1754586693,card3,51.0,43.0
1754586693,card4,48.0,42.0
1754586693,card5,46.0,39.0
1754586693,card6,48.0,43.0
1754586693,card7,45.0,39.0
1754586693,
1754586698,card0,52.0,45.0
1754586698,card1,47.0,39.0
1754586698,card2,47.0,41.0
1754586698,card3,51.0,43.0
1754586698,card4,48.0,42.0
1754586698,card5,46.0,39.0
1754586698,card6,48.0,43.0
1754586698,card7,45.0,39.0
1754586698,
1754586703,card0,52.0,45.0
1754586703,card1,47.0,38.0
1754586703,card2,47.0,41.0
1754586703,card3,51.0,43.0
1754586703,card4,48.0,42.0
1754586703,card5,46.0,39.0
1754586703,card6,49.0,43.0
1754586703,card7,45.0,39.0
1754586703,
1754586708,card0,52.0,45.0
1754586708,card1,47.0,38.0
1754586708,card2,47.0,41.0
1754586708,card3,51.0,43.0
1754586708,card4,48.0,42.0
1754586708,card5,46.0,39.0
1754586708,card6,49.0,43.0
1754586708,card7,45.0,38.0
1754586708,
1754586713,card0,53.0,46.0
1754586713,card1,47.0,38.0
1754586713,card2,47.0,41.0
1754586713,card3,51.0,43.0
1754586713,card4,48.0,42.0
1754586713,card5,46.0,39.0
1754586713,card6,49.0,43.0
1754586713,card7,45.0,39.0
1754586713,
1754586719,card0,54.0,46.0
1754586719,card1,47.0,38.0
1754586719,card2,47.0,41.0
1754586719,card3,51.0,43.0
1754586719,card4,48.0,42.0
1754586719,card5,46.0,39.0
1754586719,card6,49.0,43.0
1754586719,card7,45.0,39.0
1754586719,
1754586724,card0,58.0,51.0
1754586724,card1,47.0,39.0
1754586724,card2,47.0,41.0
1754586724,card3,51.0,43.0
1754586724,card4,49.0,42.0
1754586724,card5,46.0,39.0
1754586724,card6,49.0,43.0
1754586724,card7,45.0,39.0
1754586724,
1754586729,card0,54.0,47.0
1754586729,card1,47.0,39.0
1754586729,card2,47.0,41.0
1754586729,card3,52.0,44.0
1754586729,card4,49.0,43.0
1754586729,card5,46.0,39.0
1754586729,card6,49.0,43.0
1754586729,card7,45.0,38.0
1754586729,
1754586734,card0,54.0,47.0
1754586734,card1,47.0,39.0
1754586734,card2,47.0,41.0
1754586734,card3,52.0,43.0
1754586734,card4,49.0,43.0
1754586734,card5,46.0,39.0
1754586734,card6,49.0,43.0
1754586734,card7,45.0,39.0
1754586734,
1754586739,card0,53.0,46.0
1754586739,card1,47.0,39.0
1754586739,card2,47.0,41.0
1754586739,card3,52.0,44.0
1754586739,card4,49.0,42.0
1754586739,card5,46.0,39.0
1754586739,card6,49.0,43.0
1754586739,card7,45.0,39.0
1754586739,
1754586744,card0,53.0,46.0
1754586744,card1,47.0,39.0
1754586744,card2,47.0,41.0
1754586744,card3,51.0,43.0
1754586744,card4,48.0,42.0
1754586744,card5,46.0,39.0
1754586744,card6,49.0,43.0
1754586744,card7,45.0,38.0
1754586744,
1754586749,card0,52.0,45.0
1754586749,card1,47.0,38.0
1754586749,card2,47.0,40.0
1754586749,card3,51.0,43.0
1754586749,card4,48.0,42.0
1754586749,card5,46.0,38.0
1754586749,card6,49.0,43.0
1754586749,card7,44.0,38.0
1754586749,
1754586755,card0,52.0,48.0
1754586755,card1,47.0,38.0
1754586755,card2,47.0,40.0
1754586755,card3,51.0,43.0
1754586755,card4,48.0,42.0
1754586755,card5,46.0,39.0
1754586755,card6,49.0,43.0
1754586755,card7,44.0,38.0
1754586755,
1754586760,card0,53.0,60.0
1754586760,card1,47.0,38.0
1754586760,card2,47.0,40.0
1754586760,card3,51.0,43.0
1754586760,card4,48.0,42.0
1754586760,card5,46.0,39.0
1754586760,card6,49.0,43.0
1754586760,card7,44.0,38.0
1754586760,
1754586765,card0,61.0,64.0
1754586765,card1,47.0,38.0
1754586765,card2,47.0,40.0
1754586765,card3,51.0,43.0
1754586765,card4,48.0,42.0
1754586765,card5,46.0,39.0
1754586765,card6,49.0,43.0
1754586765,card7,45.0,38.0
1754586765,
1754586770,card0,62.0,65.0
1754586770,card1,47.0,38.0
1754586770,card2,47.0,41.0
1754586770,card3,51.0,43.0
1754586770,card4,48.0,42.0
1754586770,card5,46.0,39.0
1754586770,card6,49.0,43.0
1754586770,card7,45.0,38.0
1754586770,
1754586775,card0,58.0,51.0
1754586775,card1,47.0,39.0
1754586775,card2,47.0,41.0
1754586775,card3,51.0,43.0
1754586775,card4,48.0,42.0
1754586775,card5,46.0,39.0
1754586775,card6,49.0,43.0
1754586775,card7,45.0,39.0
1754586775,
1754586780,card0,56.0,51.0
1754586780,card1,47.0,39.0
1754586780,card2,47.0,41.0
1754586780,card3,52.0,44.0
1754586780,card4,49.0,43.0
1754586780,card5,46.0,39.0
1754586780,card6,49.0,43.0
1754586780,card7,45.0,39.0
1754586780,
1754586785,card0,55.0,48.0
1754586785,card1,47.0,38.0
1754586785,card2,47.0,41.0
1754586785,card3,51.0,43.0
1754586785,card4,48.0,42.0
1754586785,card5,46.0,39.0
1754586785,card6,49.0,43.0
1754586785,card7,45.0,38.0
1754586785,
1754586791,card0,53.0,46.0
1754586791,card1,47.0,38.0
1754586791,card2,46.0,40.0
1754586791,card3,51.0,43.0
1754586791,card4,48.0,42.0
1754586791,card5,45.0,39.0
1754586791,card6,48.0,43.0
1754586791,card7,44.0,38.0
1754586791,
1754586796,card0,53.0,46.0
1754586796,card1,47.0,38.0
1754586796,card2,46.0,40.0
1754586796,card3,51.0,43.0
1754586796,card4,48.0,42.0
1754586796,card5,45.0,38.0
1754586796,card6,48.0,42.0
1754586796,card7,44.0,38.0
1754586796,
1754586801,card0,52.0,45.0
1754586801,card1,47.0,38.0
1754586801,card2,46.0,41.0
1754586801,card3,51.0,43.0
1754586801,card4,48.0,42.0
1754586801,card5,45.0,39.0
1754586801,card6,48.0,43.0
1754586801,card7,44.0,38.0
1754586801,
1754586806,card0,52.0,45.0
1754586806,card1,47.0,38.0
1754586806,card2,47.0,40.0
1754586806,card3,51.0,43.0
1754586806,card4,48.0,42.0
1754586806,card5,45.0,39.0
1754586806,card6,48.0,42.0
1754586806,card7,44.0,38.0
1754586806,
1754586811,card0,52.0,45.0
1754586811,card1,47.0,38.0
1754586811,card2,47.0,40.0
1754586811,card3,51.0,43.0
1754586811,card4,48.0,42.0
1754586811,card5,46.0,39.0
1754586811,card6,49.0,43.0
1754586811,card7,45.0,38.0
1754586811,
1754586816,card0,52.0,45.0
1754586816,card1,47.0,38.0
1754586816,card2,47.0,41.0
1754586816,card3,51.0,43.0
1754586816,card4,48.0,42.0
1754586816,card5,46.0,39.0
1754586816,card6,49.0,43.0
1754586816,card7,45.0,38.0
1754586816,
1754586821,card0,52.0,45.0
1754586821,card1,47.0,39.0
1754586821,card2,47.0,41.0
1754586821,card3,51.0,43.0
1754586821,card4,48.0,42.0
1754586821,card5,46.0,39.0
1754586821,card6,49.0,43.0
1754586821,card7,45.0,38.0
1754586821,
1754586827,card0,52.0,45.0
1754586827,card1,47.0,39.0
1754586827,card2,47.0,41.0
1754586827,card3,51.0,44.0
1754586827,card4,48.0,42.0
1754586827,card5,46.0,39.0
1754586827,card6,49.0,43.0
1754586827,card7,45.0,38.0
1754586827,
1754586832,card0,51.0,45.0
1754586832,card1,47.0,39.0
1754586832,card2,47.0,41.0
1754586832,card3,51.0,44.0
1754586832,card4,49.0,43.0
1754586832,card5,46.0,39.0
1754586832,card6,49.0,43.0
1754586832,card7,45.0,39.0
1754586832,
1754586837,card0,51.0,44.0
1754586837,card1,47.0,39.0
1754586837,card2,47.0,41.0
1754586837,card3,51.0,44.0
1754586837,card4,49.0,43.0
1754586837,card5,46.0,39.0
1754586837,card6,49.0,43.0
1754586837,card7,45.0,39.0
1754586837,
1754586842,card0,51.0,44.0
1754586842,card1,48.0,39.0
1754586842,card2,47.0,41.0
1754586842,card3,51.0,44.0
1754586842,card4,49.0,43.0
1754586842,card5,46.0,39.0
1754586842,card6,49.0,43.0
1754586842,card7,45.0,39.0
1754586842,
1754586847,card0,52.0,45.0
1754586847,card1,47.0,39.0
1754586847,card2,47.0,41.0
1754586847,card3,52.0,44.0
1754586847,card4,49.0,43.0
1754586847,card5,46.0,39.0
1754586847,card6,49.0,43.0
1754586847,card7,45.0,38.0
1754586847,
1754586852,card0,52.0,45.0
1754586852,card1,48.0,39.0
1754586852,card2,47.0,41.0
1754586852,card3,52.0,44.0
1754586852,card4,49.0,43.0
1754586852,card5,46.0,39.0
1754586852,card6,49.0,43.0
1754586852,card7,45.0,39.0
1754586852,
1754586857,card0,52.0,45.0
1754586857,card1,48.0,39.0
1754586857,card2,47.0,41.0
1754586857,card3,52.0,44.0
1754586857,card4,49.0,43.0
1754586857,card5,46.0,39.0
1754586857,card6,49.0,44.0
1754586857,card7,45.0,39.0
1754586857,
1754586863,card0,52.0,45.0
1754586863,card1,48.0,39.0
1754586863,card2,47.0,41.0
1754586863,card3,52.0,44.0
1754586863,card4,49.0,43.0
1754586863,card5,46.0,39.0
1754586863,card6,49.0,43.0
1754586863,card7,45.0,39.0
1754586863,
1754586868,card0,53.0,46.0
1754586868,card1,48.0,39.0
1754586868,card2,47.0,41.0
1754586868,card3,52.0,44.0
1754586868,card4,49.0,43.0
1754586868,card5,46.0,39.0
1754586868,card6,50.0,43.0
1754586868,card7,45.0,39.0
1754586868,
1754586873,card0,62.0,51.0
1754586873,card1,48.0,39.0
1754586873,card2,47.0,41.0
1754586873,card3,52.0,44.0
1754586873,card4,49.0,43.0
1754586873,card5,46.0,40.0
