timestamp,device,gpu_use_percent,gfx_activity,vram_total_bytes,vram_used_bytes
1754586056,card0,0,89377230,206141652992,297771008
1754586056,card1,0,62265264,206141652992,297771008
1754586056,card2,0,58909046,206141652992,297771008
1754586056,card3,0,58880840,206141652992,297771008
1754586056,card4,0,56745114,206141652992,297771008
1754586056,card5,0,56841013,206141652992,297771008
1754586056,card6,0,56713242,206141652992,297771008
1754586056,card7,0,56690820,206141652992,297771008
1754586056,
1754586062,card0,0,89377230,206141652992,297771008
1754586062,card1,0,62265264,206141652992,297771008
1754586062,card2,0,58909046,206141652992,297771008
1754586062,card3,0,58880840,206141652992,297771008
1754586062,card4,0,56745114,206141652992,297771008
1754586062,card5,0,56841013,206141652992,297771008
1754586062,card6,0,56713242,206141652992,297771008
1754586062,card7,0,56690820,206141652992,297771008
1754586062,
1754586067,card0,0,89377398,206141652992,297873408
1754586067,card1,0,62265449,206141652992,297873408
1754586067,card2,0,58909233,206141652992,297873408
1754586067,card3,0,58881028,206141652992,297873408
1754586067,card4,0,56745301,206141652992,297873408
1754586067,card5,0,56841191,206141652992,297873408
1754586067,card6,0,56713419,206141652992,297873408
1754586067,card7,0,56690988,206141652992,297873408
1754586067,
1754586072,card0,0,89377398,206141652992,297873408
1754586072,card1,0,62265449,206141652992,297873408
1754586072,card2,0,58909233,206141652992,297873408
1754586072,card3,0,58881028,206141652992,297873408
1754586072,card4,0,56745301,206141652992,297873408
1754586072,card5,0,56841191,206141652992,297873408
1754586072,card6,0,56713419,206141652992,297873408
1754586072,card7,0,56690988,206141652992,297873408
1754586072,
1754586077,card0,0,89377584,206141652992,297975808
1754586077,card1,0,62265634,206141652992,297975808
1754586077,card2,0,58909421,206141652992,297975808
1754586077,card3,0,58881218,206141652992,297975808
1754586077,card4,0,56745473,206141652992,297975808
1754586077,card5,0,56841371,206141652992,297975808
1754586077,card6,0,56713593,206141652992,297975808
1754586077,card7,0,56691158,206141652992,297975808
1754586077,
1754586082,card0,0,89377584,206141652992,297975808
1754586082,card1,0,62265634,206141652992,297975808
1754586082,card2,0,58909421,206141652992,297975808
1754586082,card3,0,58881218,206141652992,297975808
1754586082,card4,0,56745473,206141652992,297975808
1754586082,card5,0,56841371,206141652992,297975808
1754586082,card6,0,56713593,206141652992,297975808
1754586082,card7,0,56691158,206141652992,297975808
1754586082,
1754586087,card0,3,89377978,206141652992,297975808
1754586087,card1,4,62266066,206141652992,297975808
1754586087,card2,4,58909860,206141652992,297975808
1754586087,card3,4,58881725,206141652992,297975808
1754586087,card4,4,56745977,206141652992,297975808
1754586087,card5,6,56841952,206141652992,297975808
1754586087,card6,6,56714191,206141652992,297975808
1754586087,card7,6,56691778,206141652992,297975808
1754586087,
1754586092,card0,0,89388138,206141652992,21296177152
1754586092,card1,0,62266258,206141652992,297975808
1754586092,card2,0,58910023,206141652992,297975808
1754586092,card3,0,58881824,206141652992,297975808
1754586092,card4,0,56746031,206141652992,297975808
1754586092,card5,0,56841984,206141652992,297975808
1754586092,card6,0,56714191,206141652992,297975808
1754586092,card7,0,56691778,206141652992,297975808
1754586092,
1754586097,card0,0,89388138,206141652992,21296177152
1754586097,card1,0,62266258,206141652992,297975808
1754586097,card2,0,58910023,206141652992,297975808
1754586097,card3,0,58881824,206141652992,297975808
1754586097,card4,0,56746031,206141652992,297975808
1754586097,card5,0,56841984,206141652992,297975808
1754586097,card6,0,56714191,206141652992,297975808
1754586097,card7,0,56691778,206141652992,297975808
1754586097,
1754586103,card0,0,89389541,206141652992,22590771200
1754586103,card1,0,62266258,206141652992,297984000
1754586103,card2,0,58910023,206141652992,297984000
1754586103,card3,0,58881824,206141652992,297984000
1754586103,card4,0,56746031,206141652992,297984000
1754586103,card5,0,56841984,206141652992,297984000
1754586103,card6,0,56714191,206141652992,297984000
1754586103,card7,0,56691778,206141652992,297984000
1754586103,
1754586108,card0,0,89433574,206141652992,23110995968
1754586108,card1,0,62266258,206141652992,297988096
1754586108,card2,0,58910023,206141652992,297988096
1754586108,card3,0,58881824,206141652992,297988096
1754586108,card4,0,56746031,206141652992,297988096
1754586108,card5,0,56841984,206141652992,297988096
