timestamp,device,gpu_use_percent,gfx_activity,vram_total_bytes,vram_used_bytes
1754585903,card0,0,87772295,206141652992,297771008
1754585903,card1,0,62261443,206141652992,297771008
1754585903,card2,0,58905184,206141652992,297771008
1754585903,card3,0,58876996,206141652992,297771008
1754585903,card4,0,56741366,206141652992,297771008
1754585903,card5,0,56837235,206141652992,297771008
1754585903,card6,0,56709469,206141652992,297771008
1754585903,card7,0,56687052,206141652992,297771008
1754585903,
1754585908,card0,0,87772295,206141652992,297771008
1754585908,card1,0,62261443,206141652992,297771008
1754585908,card2,0,58905184,206141652992,297771008
1754585908,card3,0,58876996,206141652992,297771008
1754585908,card4,0,56741366,206141652992,297771008
1754585908,card5,0,56837235,206141652992,297771008
1754585908,card6,0,56709469,206141652992,297771008
1754585908,card7,0,56687052,206141652992,297771008
1754585908,
1754585913,card0,0,87772467,206141652992,297865216
1754585913,card1,0,62261633,206141652992,297865216
1754585913,card2,0,58905369,206141652992,297865216
1754585913,card3,0,58877181,206141652992,297865216
1754585913,card4,0,56741550,206141652992,297865216
1754585913,card5,0,56837416,206141652992,297865216
1754585913,card6,0,56709643,206141652992,297865216
1754585913,card7,0,56687222,206141652992,297865216
1754585913,
1754585918,card0,0,87772467,206141652992,297865216
1754585918,card1,0,62261633,206141652992,297865216
1754585918,card2,0,58905369,206141652992,297865216
1754585918,card3,0,58877181,206141652992,297865216
1754585918,card4,0,56741550,206141652992,297865216
1754585918,card5,0,56837416,206141652992,297865216
1754585918,card6,0,56709643,206141652992,297865216
1754585918,card7,0,56687222,206141652992,297865216
1754585918,
1754585923,card0,0,87772656,206141652992,297951232
1754585923,card1,0,62261821,206141652992,297951232
1754585923,card2,0,58905554,206141652992,297951232
1754585923,card3,0,58877367,206141652992,297951232
1754585923,card4,0,56741720,206141652992,297951232
1754585923,card5,0,56837593,206141652992,297951232
1754585923,card6,0,56709816,206141652992,297951232
1754585923,card7,0,56687392,206141652992,297951232
1754585923,
1754585928,card0,0,87772656,206141652992,297951232
1754585928,card1,0,62261821,206141652992,297951232
1754585928,card2,0,58905554,206141652992,297951232
1754585928,card3,0,58877367,206141652992,297951232
1754585928,card4,0,56741720,206141652992,297951232
1754585928,card5,0,56837593,206141652992,297951232
1754585928,card6,0,56709816,206141652992,297951232
1754585928,card7,0,56687392,206141652992,297951232
1754585928,
1754585933,card0,3,87773259,206141652992,297865216
1754585933,card1,3,62262423,206141652992,297865216
1754585933,card2,3,58906173,206141652992,297865216
1754585933,card3,3,58877993,206141652992,297865216
1754585933,card4,3,56742283,206141652992,297865216
1754585933,card5,3,56838203,206141652992,297865216
1754585933,card6,3,56710422,206141652992,297865216
1754585933,card7,3,56687993,206141652992,297865216
1754585933,
1754585939,card0,1,87779315,206141652992,17325838336
1754585939,card1,0,62262423,206141652992,297955328
1754585939,card2,0,58906173,206141652992,297955328
1754585939,card3,0,58877993,206141652992,297955328
1754585939,card4,0,56742283,206141652992,297955328
1754585939,card5,0,56838203,206141652992,297955328
1754585939,card6,0,56710422,206141652992,297955328
1754585939,card7,0,56687993,206141652992,297955328
1754585939,
1754585944,card0,0,87782748,206141652992,21296144384
1754585944,card1,0,62262423,206141652992,297975808
1754585944,card2,0,58906173,206141652992,297975808
1754585944,card3,0,58877993,206141652992,297975808
1754585944,card4,0,56742283,206141652992,297975808
1754585944,card5,0,56838203,206141652992,297975808
1754585944,card6,0,56710422,206141652992,297975808
1754585944,card7,0,56687993,206141652992,297975808
1754585944,
1754585949,card0,0,87782748,206141652992,21296144384
1754585949,card1,0,62262423,206141652992,297975808
1754585949,card2,0,58906173,206141652992,297975808
1754585949,card3,0,58877993,206141652992,297975808
1754585949,card4,0,56742283,206141652992,297975808
1754585949,card5,0,56838203,206141652992,297975808
1754585949,card6,0,56710422,206141652992,297975808
1754585949,card7,0,56687993,206141652992,297975808
1754585949,
1754585954,card0,0,87784279,206141652992,22590738432
1754585954,card1,0,62262423,206141652992,297984000
1754585954,card2,0,58906173,206141652992,297984000
1754585954,card3,0,58877993,206141652992,297984000
1754585954,card4,0,56742283,206141652992,297984000
1754585954,card5,0,56838203,206141652992,297984000
1754585954,card6,0,56710422,206141652992,297984000
1754585954,card7,0,56687993,206141652992,297984000
1754585954,
1754585959,card0,0,87828374,206141652992,23110959104
1754585959,card1,0,62262423,206141652992,297992192
1754585959,card2,0,58906173,206141652992,297992192
1754585959,card3,0,58877993,206141652992,297992192
1754585959,card4,0,56742283,206141652992,297992192
1754585959,card5,0,56838203,206141652992,297992192
1754585959,card6,0,56710422,206141652992,297992192
1754585959,card7,0,56687993,206141652992,297992192
1754585959,
1754585964,card0,1,87896309,206141652992,23111110656
1754585964,card1,0,62262423,206141652992,297992192
1754585964,card2,0,58906173,206141652992,297992192
1754585964,card3,0,58877993,206141652992,297992192
1754585964,card4,0,56742283,206141652992,297992192
1754585964,card5,0,56838203,206141652992,297992192
1754585964,card6,0,56710422,206141652992,297992192
1754585964,card7,0,56687993,206141652992,297992192
1754585964,
1754585969,card0,17,88231240,206141652992,150564020224
1754585969,card1,0,62262423,206141652992,298061824
1754585969,card2,0,58906173,206141652992,298061824
1754585969,card3,0,58877993,206141652992,298061824
1754585969,card4,0,56742283,206141652992,298061824
1754585969,card5,0,56838203,206141652992,298061824
1754585969,card6,0,56710422,206141652992,298061824
1754585969,card7,0,56687993,206141652992,298061824
1754585969,
1754585974,card0,0,88260735,206141652992,151056195584
1754585974,card1,0,62262423,206141652992,298078208
1754585974,card2,0,58906173,206141652992,298078208
1754585974,card3,0,58877993,206141652992,298078208
1754585974,card4,0,56742283,206141652992,298078208
1754585974,card5,0,56838203,206141652992,298078208
1754585974,card6,0,56710422,206141652992,298078208
1754585974,card7,0,56687993,206141652992,298078208
1754585974,
1754585979,card0,0,88260735,206141652992,151056195584
1754585979,card1,0,62262423,206141652992,298078208
1754585979,card2,0,58906173,206141652992,298078208
1754585979,card3,0,58877993,206141652992,298078208
1754585979,card4,0,56742283,206141652992,298078208
1754585979,card5,0,56838203,206141652992,298078208
1754585979,card6,0,56710422,206141652992,298078208
1754585979,card7,0,56687993,206141652992,298078208
1754585979,
1754585985,card0,0,88260794,206141652992,151056195584
1754585985,card1,0,62262423,206141652992,298078208
1754585985,card2,0,58906173,206141652992,298078208
1754585985,card3,0,58877993,206141652992,298078208
1754585985,card4,0,56742283,206141652992,298078208
1754585985,card5,0,56838203,206141652992,298078208
1754585985,card6,0,56710422,206141652992,298078208
1754585985,card7,0,56687993,206141652992,298078208
1754585985,
1754585990,card0,0,88260844,206141652992,151056195584
1754585990,card1,0,62262423,206141652992,298078208
1754585990,card2,0,58906173,206141652992,298078208
1754585990,card3,0,58877993,206141652992,298078208
1754585990,card4,0,56742283,206141652992,298078208
1754585990,card5,0,56838203,206141652992,298078208
1754585990,card6,0,56710422,206141652992,298078208
1754585990,card7,0,56687993,206141652992,298078208
1754585990,
1754585995,card0,0,88260844,206141652992,151056195584
1754585995,card1,0,62262423,206141652992,298078208
1754585995,card2,0,58906173,206141652992,298078208
1754585995,card3,0,58877993,206141652992,298078208
1754585995,card4,0,56742283,206141652992,298078208
1754585995,card5,0,56838203,206141652992,298078208
1754585995,card6,0,56710422,206141652992,298078208
1754585995,card7,0,56687993,206141652992,298078208
1754585995,
1754586000,card0,6,88277199,206141652992,151152664576
1754586000,card1,0,62262423,206141652992,298078208
1754586000,card2,0,58906173,206141652992,298078208
1754586000,card3,0,58877993,206141652992,298078208
1754586000,card4,0,56742283,206141652992,298078208
1754586000,card5,0,56838203,206141652992,298078208
1754586000,card6,0,56710422,206141652992,298078208
1754586000,card7,0,56687993,206141652992,298078208
1754586000,
1754586005,card0,0,88303232,206141652992,151058702336
1754586005,card1,0,62262423,206141652992,298078208
1754586005,card2,0,58906173,206141652992,298078208
1754586005,card3,0,58877993,206141652992,298078208
1754586005,card4,0,56742283,206141652992,298078208
1754586005,card5,0,56838203,206141652992,298078208
1754586005,card6,0,56710422,206141652992,298078208
1754586005,card7,0,56687993,206141652992,298078208
1754586005,
1754586010,card0,100,88738974,206141652992,151140532224
1754586010,card1,0,62262423,206141652992,298078208
1754586010,card2,0,58906173,206141652992,298078208
1754586010,card3,0,58877993,206141652992,298078208
1754586010,card4,0,56742283,206141652992,298078208
1754586010,card5,0,56838203,206141652992,298078208
1754586010,card6,0,56710422,206141652992,298078208
1754586010,card7,0,56687993,206141652992,298078208
1754586010,
1754586015,card0,100,89252739,206141652992,151140532224
1754586015,card1,0,62262423,206141652992,298078208
1754586015,card2,0,58906173,206141652992,298078208
1754586015,card3,0,58877993,206141652992,298078208
1754586015,card4,0,56742283,206141652992,298078208
1754586015,card5,0,56838203,206141652992,298078208
1754586015,card6,0,56710422,206141652992,298078208
1754586015,card7,0,56687993,206141652992,298078208
1754586015,
1754586020,card0,0,89375535,206141652992,150834237440
1754586020,card1,0,62263542,206141652992,298078208
1754586020,card2,0,58907315,206141652992,298078208
1754586020,card3,0,58879128,206141652992,298078208
1754586020,card4,0,56743411,206141652992,298078208
1754586020,card5,0,56839328,206141652992,298078208
1754586020,card6,0,56711552,206141652992,298078208
1754586020,card7,0,56689111,206141652992,298078208
1754586020,
