timestamp,cpu_user_percent,cpu_system_percent,cpu_idle_percent,load_avg_1min
1754586812,1.5,1.5,97.0,2.15
1754586817,5.0,1.7,92.7,2.30
1754586823,1.0,1.3,97.7,2.35
1754586828,1.2,0.8,97.6,2.33
1754586833,0.6,0.8,97.8,2.30
1754586838,0.9,0.5,98.2,2.19
1754586843,1.4,0.7,97.9,2.10
1754586849,1.2,0.7,97.6,2.01
1754586854,1.0,0.5,98.6,2.09
1754586859,1.0,0.5,98.3,2.08
1754586864,0.9,0.4,98.7,2.08
1754586869,1.0,1.0,97.9,1.99
1754586875,1.1,0.4,98.5,2.07
1754586880,1.3,0.6,97.8,1.98
1754586885,1.4,1.1,97.5,1.91
1754586890,1.7,1.2,96.4,1.83
1754586895,0.9,0.7,97.9,1.77
1754586901,0.9,0.5,98.4,1.70
1754586906,1.2,0.5,98.1,1.73
1754586911,0.9,0.8,98.0,1.75
1754586916,1.2,1.0,97.2,1.77
1754586922,1.8,1.4,96.6,1.87
1754586927,1.2,0.9,97.6,1.88
1754586932,0.2,0.5,99.3,1.81
1754586937,0.7,0.8,98.3,2.30
1754586942,0.1,0.4,99.5,2.17
1754586948,0.1,0.5,99.2,2.00
1754586953,0.1,0.4,99.5,2.00
1754586958,0.4,0.5,99.0,1.84
1754586963,1.4,1.7,96.7,1.69
1754586969,12.7,0.7,86.2,1.63
1754586974,0.8,1.0,98.0,1.58
1754586979,0.7,0.9,98.3,1.54
1754586984,0.6,0.8,97.7,1.65
1754586989,0.6,0.9,98.4,1.60
1754586995,0.9,0.5,98.6,1.55
1754587000,1.2,0.8,97.9,1.91
1754587005,0.9,0.5,98.6,2.00
1754587010,0.9,0.4,98.5,1.92
1754587015,1.3,0.8,97.8,2.00
1754587021,0.9,0.5,98.1,2.00
1754587026,1.3,1.1,97.4,2.08
1754587031,1.4,0.9,97.3,2.32
1754587036,1.1,0.7,98.1,2.29
1754587041,1.1,0.6,98.4,2.19
1754587047,1.2,0.6,98.2,2.09
1754587052,0.9,0.6,97.8,2.00
1754587057,1.0,0.5,98.5,2.00
1754587062,0.9,0.5,98.1,1.92
1754587068,1.6,0.9,97.0,1.93
1754587073,1.5,1.3,97.0,1.94
1754587078,1.5,1.4,96.6,2.02
1754587083,1.1,1.3,97.5,2.02
1754587088,1.1,1.1,97.4,2.02
1754587094,1.3,1.1,97.5,2.02
1754587099,1.3,1.0,97.0,2.01
1754587104,1.5,1.1,97.4,2.01
1754587109,1.3,1.1,97.3,1.93
1754587114,1.5,1.2,97.2,1.86
1754587120,2.1,1.7,95.9,1.95
1754587125,1.3,1.1,97.6,1.95
1754587130,1.4,1.1,97.3,1.88
1754587135,1.5,1.3,97.2,1.89
1754587140,1.6,1.1,97.1,1.90
1754587146,1.6,1.3,96.7,1.82
1754587151,1.3,1.2,97.2,2.00
1754587156,1.6,1.1,97.1,2.08
1754587161,1.0,0.9,97.7,2.47
1754587166,1.1,0.8,98.0,2.43
1754587172,1.0,0.9,97.8,2.48
1754587177,1.6,0.6,97.7,2.44
1754587182,1.8,1.1,97.1,2.41
1754587187,1.1,1.1,97.7,3.07
1754587193,0.8,1.2,97.5,2.98
1754587198,0.8,1.1,97.6,2.83
1754587203,0.7,1.0,97.6,2.60
1754587208,0.7,0.8,98.3,2.39
1754587213,0.7,0.8,98.1,2.28
1754587219,0.5,0.7,98.4,2.18
1754587224,1.6,1.1,96.7,2.16
1754587229,1.0,1.1,97.5,2.23
1754587234,1.2,0.8,97.7,2.13
1754587239,1.3,1.2,97.1,2.36
1754587245,1.1,0.6,98.0,2.33
1754587250,1.0,0.9,97.5,2.39
1754587255,1.1,0.7,98.0,4.84
1754587260,0.9,0.4,98.6,4.69
1754587265,0.8,0.8,98.4,4.39
1754587271,1.5,0.8,97.3,4.20
1754587276,1.2,0.7,97.8,3.94
1754587281,1.2,1.2,96.7,3.95
1754587286,1.3,0.9,97.7,3.79
1754587291,0.9,0.5,98.5,3.57
1754587297,1.0,0.6,98.3,3.36
1754587302,1.0,0.7,98.3,3.25
1754587307,0.9,0.7,98.2,3.07
1754587312,1.5,0.6,97.9,2.99
1754587318,1.7,0.9,97.4,2.91
1754587323,1.6,1.3,97.0,2.76
1754587328,1.4,1.3,97.1,2.70
1754587333,1.2,1.1,97.6,2.64
1754587338,1.2,0.9,97.3,2.67
1754587344,1.1,0.9,97.8,2.62
1754587349,1.1,0.9,97.8,2.49
1754587354,1.3,1.1,97.3,2.37
1754587359,1.3,1.1,97.3,2.42
1754587364,1.3,1.1,97.5,2.39
1754587370,1.1,1.3,95.9,2.44
1754587375,1.6,1.4,96.7,2.40
1754587380,1.4,1.1,97.2,2.61
1754587385,1.1,0.9,97.7,2.64
1754587390,1.9,1.5,96.5,2.59
1754587396,1.7,1.3,96.9,2.70
1754587401,1.6,1.4,96.7,2.65
1754587406,1.5,1.5,96.9,2.83
1754587411,1.1,1.1,97.8,2.85
1754587416,1.1,0.9,97.9,2.70
1754587422,1.2,1.0,97.6,2.72
1754587427,1.4,1.1,97.5,2.83
1754587432,1.0,0.7,98.3,2.84
1754587437,0.8,0.5,98.6,2.77
1754587443,0.2,0.4,98.9,3.29
1754587448,0.1,0.5,99.0,3.03
1754587453,0.2,0.4,99.4,2.86
1754587458,0.7,0.8,98.3,2.63
1754587463,0.8,0.8,98.4,2.42
1754587469,0.5,0.9,98.4,2.23
1754587474,0.5,0.9,98.2,2.13
1754587479,4.6,0.9,94.0,2.20
1754587484,0.8,1.0,98.3,2.18
1754587489,1.0,0.6,98.0,2.17
1754587495,1.1,1.1,97.7,2.24
1754587500,1.8,1.2,96.8,2.06
1754587505,2.0,1.2,96.8,2.29
1754587510,1.5,1.2,96.8,2.19
1754587515,1.3,0.8,97.7,2.09
1754587521,1.1,0.9,97.9,2.09
1754587526,1.3,0.7,98.0,2.16
1754587531,1.2,0.7,97.9,2.23
1754587536,1.2,1.0,97.5,2.37
1754587542,1.0,0.7,97.8,2.26
1754587547,1.0,0.6,97.8,2.16
1754587552,0.9,0.4,98.5,2.06
1754587557,0.9,0.4,98.4,2.06
1754587562,0.9,0.4,98.2,2.21
1754587568,1.2,0.6,97.9,2.18
1754587573,1.6,0.9,97.4,2.08
1754587578,1.8,1.6,96.5,1.99
1754587583,1.4,1.4,97.0,1.91
1754587588,1.1,0.6,98.0,1.92
1754587594,1.2,0.9,97.8,2.09
1754587599,1.2,0.6,98.0,2.08
1754587604,0.7,0.7,98.6,2.07
1754587609,1.1,1.1,97.1,2.63
1754587614,0.6,0.9,98.4,2.50
1754587620,0.4,0.8,98.6,2.46
1754587625,0.4,0.5,98.5,2.34
1754587630,0.5,0.6,98.2,2.23
1754587635,0.7,0.9,98.4,2.13
1754587640,0.9,1.0,97.9,1.96
1754587646,1.1,1.4,97.5,1.89
1754587651,1.3,1.6,96.4,1.81
1754587656,1.6,1.1,97.2,1.75
1754587661,1.2,1.4,96.4,1.69
1754587666,1.8,1.2,96.5,1.71
1754587672,19.7,2.8,77.2,1.74
1754587677,0.8,0.5,98.4,4.16
1754587682,1.9,1.2,96.3,3.91
1754587687,2.2,1.1,96.7,3.75
1754587693,1.8,1.2,96.5,3.64
1754587698,1.9,1.6,96.0,3.51
1754587703,7.4,1.5,90.9,3.63
1754587708,0.9,0.4,98.3,3.66
1754587713,1.1,0.6,98.0,3.52
1754587719,1.0,0.8,97.3,3.48
