timestamp,cpu_user_percent,cpu_system_percent,cpu_idle_percent,load_avg_1min
1754586056,0.9,0.8,98.3,1.70
1754586062,3.1,1.4,95.1,1.57
1754586067,0.5,0.6,98.8,1.60
1754586072,0.5,0.5,99.0,1.55
1754586077,0.6,0.5,98.6,1.63
1754586082,0.7,0.3,98.7,1.66
1754586088,0.7,0.3,98.5,1.69
1754586093,0.9,0.2,98.9,1.71
1754586098,1.0,0.2,98.3,1.73
1754586103,1.0,0.5,97.9,1.68
1754586109,1.1,0.6,98.1,1.70
1754586114,1.0,0.9,98.1,1.81
1754586119,1.5,0.2,98.1,2.06
1754586124,0.8,0.2,98.6,1.98
1754586129,0.7,0.3,98.9,1.98
1754586135,0.8,0.2,99.0,1.90
1754586140,0.8,0.2,98.9,1.91
1754586145,0.8,0.2,99.0,1.83
1754586150,0.8,0.2,98.8,1.77
1754586155,1.0,0.6,98.2,1.79
1754586161,0.9,0.7,98.1,1.80
1754586166,0.5,0.6,98.8,1.82
1754586171,0.8,0.2,99.0,1.75
1754586176,0.0,0.2,99.1,1.85
1754586182,0.1,0.2,99.6,2.35
1754586187,0.0,0.1,99.8,2.16
1754586192,0.1,0.2,99.4,1.99
1754586197,0.1,0.2,99.0,1.68
1754586202,0.0,0.2,99.2,1.54
1754586208,0.1,0.2,99.6,1.42
1754586213,0.7,0.2,99.0,1.39
1754586218,0.5,0.5,98.9,1.36
1754586223,1.5,0.5,97.4,1.33
1754586229,0.5,0.7,98.7,1.30
1754586234,0.8,0.2,99.0,1.28
1754586239,0.8,0.3,98.4,3.82
1754586244,0.8,0.2,98.9,3.59
1754586249,0.3,0.7,98.8,3.38
1754586255,0.8,0.2,98.9,3.19
1754586260,1.3,0.2,98.2,3.10
1754586265,1.0,0.4,98.3,3.09
1754586270,0.8,0.2,98.9,3.00
1754586275,0.8,0.2,98.9,2.92
1754586281,0.8,0.1,98.9,2.85
1754586286,0.8,0.2,98.5,2.70
1754586291,0.8,0.2,99.0,2.56
1754586296,1.0,0.2,98.8,2.52
1754586302,1.7,0.6,97.3,2.40
1754586307,1.0,0.8,98.2,2.28
1754586312,1.3,0.8,97.7,2.50
1754586317,1.4,1.1,97.5,2.83
1754586322,1.6,1.2,96.6,2.68
1754586328,1.8,1.4,96.5,2.71
1754586333,1.6,1.2,97.0,2.57
1754586338,1.0,0.7,98.1,2.53
1754586343,1.0,0.6,98.4,2.48
1754586349,1.4,1.0,97.5,2.53
1754586354,1.4,1.0,97.1,2.56
1754586359,1.2,0.9,97.7,2.60
1754586364,1.0,0.9,98.1,2.63
1754586369,1.0,0.8,97.0,2.58
1754586375,0.9,0.7,97.7,2.53
1754586380,1.0,1.0,97.2,2.49
1754586385,1.0,0.7,98.3,2.53
1754586390,0.8,0.1,99.0,2.41
1754586395,0.0,0.2,99.0,2.38
1754586401,0.1,0.2,99.5,2.83
1754586406,0.1,0.2,99.7,2.60
1754586411,0.3,0.3,99.0,2.39
1754586416,0.3,0.4,99.2,2.28
1754586422,0.2,0.4,99.3,2.10
1754586427,0.2,0.5,97.9,1.93
1754586432,0.2,0.9,98.0,1.77
1754586437,0.5,0.6,98.8,1.80
1754586442,0.5,0.6,98.7,1.74
1754586448,0.7,0.7,98.2,1.84
1754586453,0.5,0.6,98.6,1.93
1754586458,1.0,0.3,97.7,1.94
1754586463,15.3,2.9,81.3,1.86
1754586468,0.9,0.2,98.5,1.79
1754586474,0.9,0.2,99.0,1.89
1754586479,1.0,0.8,97.8,1.82
1754586484,1.2,0.7,98.1,1.75
1754586489,1.3,1.0,97.6,1.69
1754586494,1.2,0.7,97.7,1.72
1754586500,0.8,0.5,98.1,1.66
1754586505,0.8,0.3,98.4,1.77
1754586510,1.1,0.3,98.5,1.79
1754586515,1.1,0.4,98.0,1.72
1754586520,0.9,0.5,98.5,1.83
1754586526,0.9,0.2,98.6,1.76
1754586531,1.1,0.4,97.4,1.78
1754586536,1.3,0.8,97.1,1.88
1754586541,1.1,0.8,97.9,1.89
1754586546,0.9,0.8,97.9,1.82
1754586552,1.1,0.7,98.2,1.83
1754586557,0.9,0.7,98.3,1.84
1754586562,1.1,0.7,97.5,1.94
1754586567,1.1,0.8,98.0,1.95
1754586572,1.2,0.8,97.8,1.87
1754586578,1.5,1.1,97.3,1.88
1754586583,1.7,1.1,96.8,1.89
1754586588,1.0,0.8,98.0,1.98
1754586593,1.1,0.7,97.5,1.98
1754586598,1.5,1.2,97.1,2.06
1754586604,1.2,1.0,97.7,2.22
1754586609,1.2,0.8,97.3,2.28
1754586614,1.3,1.0,97.1,2.26
1754586619,1.1,0.9,97.4,2.24
1754586625,1.1,0.5,98.4,2.14
1754586630,0.6,1.0,97.6,2.13
1754586635,0.4,0.6,99.0,2.60
1754586640,0.1,0.3,99.5,2.47
1754586645,0.2,0.4,98.8,2.35
1754586651,0.1,0.2,99.7,2.16
1754586656,0.1,0.2,99.7,1.99
1754586661,0.1,0.2,99.7,1.83
1754586666,0.1,0.3,99.3,1.68
1754586672,0.6,0.6,98.8,4.27
1754586677,1.1,0.8,98.1,4.25
1754586682,0.9,1.0,98.1,4.07
1754586687,0.9,0.9,97.4,3.60
1754586692,1.0,0.5,98.1,3.55
1754586698,1.3,0.7,97.7,3.42
1754586703,1.0,0.5,98.3,3.23
1754586708,0.9,0.3,98.2,3.05
1754586713,1.2,0.3,98.4,2.97
1754586719,1.4,0.6,97.7,2.81
1754586724,1.8,0.8,97.4,2.66
1754586729,1.6,1.1,97.0,2.53
1754586734,1.4,0.8,97.4,2.49
1754586739,1.1,0.6,97.4,2.45
1754586745,0.8,0.3,98.9,2.33
1754586750,1.1,0.5,98.2,2.31
1754586755,0.8,0.2,98.8,2.28
1754586760,1.0,0.7,98.1,2.34
1754586765,1.1,0.7,97.5,2.31
1754586771,1.0,0.7,97.1,2.37
1754586776,0.8,0.2,98.7,2.34
1754586781,0.2,0.4,99.2,2.23
1754586786,0.2,0.3,99.1,2.69
1754586791,0.6,0.6,98.4,2.72
1754586797,1.1,1.1,97.2,2.58
1754586802,0.9,0.9,97.9,2.45
1754586807,0.3,0.7,98.9,2.26
1754586812,0.8,0.7,98.5,2.06
1754586817,9.7,0.6,89.6,2.30
1754586823,0.5,0.8,98.5,2.35
1754586828,1.3,0.7,97.1,2.33
1754586833,0.8,0.8,98.2,2.30
1754586838,1.2,0.6,98.1,2.19
1754586844,1.3,0.7,97.9,2.10
1754586849,0.9,0.3,98.5,2.01
1754586854,0.9,0.3,98.7,2.09
1754586859,1.2,1.1,97.1,2.08
1754586864,1.2,0.4,98.2,2.08
1754586870,1.4,1.3,97.0,1.99
1754586875,1.9,1.2,96.8,2.07
1754586880,1.3,0.7,97.4,1.98
1754586885,0.8,0.4,98.7,1.91
1754586890,1.0,0.7,98.0,1.83
1754586896,0.9,0.4,98.0,1.77
1754586901,0.8,0.4,98.8,1.70
1754586906,1.6,0.8,97.3,1.73
1754586911,1.4,1.0,97.4,1.75
1754586916,1.6,1.3,96.4,1.77
1754586922,1.5,1.4,97.0,1.87
1754586927,0.9,0.4,98.5,1.88
1754586932,0.2,0.4,99.4,1.81
1754586937,0.7,0.6,98.2,2.36
1754586943,0.1,0.3,99.5,2.17
1754586948,0.2,0.4,98.9,2.00
1754586953,0.4,0.4,99.1,2.00
1754586958,0.4,0.5,99.0,1.84
1754586963,0.3,0.6,98.5,1.69
1754586969,12.8,0.8,86.1,1.63
1754586974,0.8,1.0,98.0,1.58
1754586979,0.6,0.9,98.4,1.54
1754586984,0.7,0.8,97.8,1.65
1754586989,0.6,0.8,98.4,1.60
1754586995,1.0,0.5,98.6,1.55
1754587000,1.2,0.7,97.8,1.91
1754587005,0.9,0.5,98.5,2.00
1754587010,0.9,0.5,98.4,1.92
1754587015,1.3,0.8,97.8,2.00
1754587021,0.9,0.5,98.1,2.00
1754587026,1.3,1.1,97.4,2.08
1754587031,1.3,0.9,97.4,2.32
1754587036,1.2,0.7,98.1,2.29
1754587041,1.1,0.6,98.4,2.19
1754587047,1.2,0.6,98.2,2.09
1754587052,0.9,0.6,97.8,2.00
1754587057,0.9,0.4,98.6,2.00
1754587062,0.9,0.5,98.1,1.92
1754587068,1.6,0.9,97.0,1.93
1754587073,1.6,1.4,96.9,1.94
1754587078,1.5,1.4,96.6,2.02
1754587083,1.1,1.3,97.3,2.02
1754587088,1.2,1.0,97.4,2.02
1754587094,1.3,1.1,97.4,2.02
1754587099,1.2,1.0,97.1,2.01
1754587104,1.5,1.2,97.2,2.01
1754587109,1.3,1.1,97.2,1.93
1754587114,1.5,1.2,97.2,1.86
1754587120,2.1,1.7,95.9,1.95
1754587125,1.3,1.1,97.5,1.95
1754587130,1.4,1.1,97.3,1.88
1754587135,1.6,1.2,97.2,1.89
1754587140,1.6,1.3,96.9,1.90
1754587146,1.6,1.3,96.7,1.82
1754587151,1.2,1.1,97.6,2.00
1754587156,1.6,0.9,97.2,2.08
1754587161,1.1,0.9,97.9,2.47
1754587167,1.1,0.9,98.0,2.43
1754587172,1.3,0.9,96.7,2.48
1754587177,1.8,0.8,97.4,2.44
1754587182,1.9,1.1,96.9,2.41
1754587187,1.1,1.0,97.6,3.07
1754587193,0.8,1.2,97.5,2.98
1754587198,0.8,1.0,97.4,2.83
1754587203,0.7,1.0,97.6,2.60
1754587208,0.7,0.9,98.3,2.39
1754587213,0.6,0.8,98.2,2.28
1754587219,0.6,0.7,98.4,2.18
1754587224,1.6,1.1,96.7,2.16
1754587229,1.0,1.1,97.5,2.23
1754587234,1.2,0.8,97.7,2.13
1754587239,1.3,1.2,97.1,2.36
1754587245,1.1,0.6,98.0,2.33
1754587250,1.0,0.9,97.5,2.39
1754587255,1.1,0.7,98.0,4.84
1754587260,0.9,0.4,98.7,4.69
1754587265,0.8,0.9,98.4,4.39
1754587271,1.6,0.9,97.2,4.20
1754587276,1.2,0.7,97.8,3.94
1754587281,1.2,1.2,96.8,3.95
1754587286,1.3,0.9,97.7,3.79
1754587291,0.9,0.5,98.5,3.57
1754587297,1.0,0.6,98.3,3.36
1754587302,1.0,0.7,98.3,3.25
1754587307,0.9,0.6,98.5,3.07
1754587312,1.1,0.6,98.3,2.91
1754587318,1.6,0.8,97.6,2.91
1754587323,1.6,1.2,97.1,2.76
1754587328,1.6,1.3,96.9,2.70
