timestamp,device,temp_edge_celsius,temp_junction_celsius
1754586175,card5,46.0,39.0
1754586175,card6,50.0,44.0
1754586175,card7,45.0,39.0
1754586175,
1754586180,card0,54.0,47.0
1754586180,card1,47.0,38.0
1754586180,card2,47.0,41.0
1754586180,card3,52.0,44.0
1754586180,card4,49.0,43.0
1754586180,card5,46.0,39.0
1754586180,card6,49.0,43.0
1754586180,card7,45.0,38.0
1754586180,
1754586185,card0,53.0,46.0
1754586185,card1,47.0,38.0
1754586185,card2,47.0,40.0
1754586185,card3,51.0,43.0
1754586185,card4,48.0,42.0
1754586185,card5,46.0,39.0
1754586185,card6,49.0,43.0
1754586185,card7,45.0,38.0
1754586185,
1754586190,card0,52.0,46.0
1754586190,card1,47.0,38.0
1754586190,card2,47.0,40.0
1754586190,card3,51.0,43.0
1754586190,card4,48.0,42.0
1754586190,card5,46.0,39.0
1754586190,card6,49.0,43.0
1754586190,card7,44.0,38.0
1754586190,
1754586195,card0,52.0,45.0
1754586195,card1,47.0,38.0
1754586195,card2,47.0,41.0
1754586195,card3,51.0,43.0
1754586195,card4,48.0,42.0
1754586195,card5,46.0,39.0
1754586195,card6,49.0,43.0
1754586195,card7,45.0,38.0
1754586195,
1754586200,card0,52.0,45.0
1754586200,card1,47.0,39.0
1754586200,card2,47.0,41.0
1754586200,card3,51.0,44.0
1754586200,card4,48.0,42.0
1754586200,card5,46.0,39.0
1754586200,card6,49.0,43.0
1754586200,card7,45.0,38.0
1754586200,
1754586205,card0,52.0,45.0
1754586205,card1,47.0,39.0
1754586205,card2,47.0,41.0
1754586205,card3,51.0,43.0
1754586205,card4,48.0,42.0
1754586205,card5,46.0,39.0
1754586205,card6,49.0,43.0
1754586205,card7,45.0,38.0
1754586205,
1754586211,card0,52.0,45.0
1754586211,card1,47.0,39.0
1754586211,card2,47.0,41.0
1754586211,card3,51.0,43.0
1754586211,card4,49.0,42.0
1754586211,card5,46.0,39.0
1754586211,card6,49.0,43.0
1754586211,card7,45.0,39.0
1754586211,
1754586216,card0,52.0,45.0
1754586216,card1,48.0,39.0
1754586216,card2,47.0,41.0
1754586216,card3,52.0,44.0
1754586216,card4,49.0,43.0
1754586216,card5,46.0,39.0
1754586216,card6,49.0,43.0
1754586216,card7,45.0,39.0
1754586216,
1754586221,card0,52.0,45.0
1754586221,card1,48.0,39.0
1754586221,card2,47.0,41.0
1754586221,card3,52.0,44.0
1754586221,card4,49.0,43.0
1754586221,card5,46.0,39.0
1754586221,card6,49.0,43.0
1754586221,card7,45.0,39.0
1754586221,
1754586226,card0,51.0,45.0
1754586226,card1,48.0,39.0
1754586226,card2,47.0,41.0
1754586226,card3,52.0,44.0
1754586226,card4,49.0,43.0
1754586226,card5,46.0,39.0
1754586226,card6,49.0,43.0
1754586226,card7,45.0,39.0
1754586226,
1754586231,card0,51.0,44.0
1754586231,card1,48.0,39.0
1754586231,card2,47.0,41.0
1754586231,card3,52.0,44.0
1754586231,card4,49.0,43.0
1754586231,card5,46.0,39.0
1754586231,card6,50.0,44.0
1754586231,card7,45.0,39.0
1754586231,
1754586236,card0,51.0,44.0
1754586236,card1,48.0,39.0
1754586236,card2,47.0,41.0
1754586236,card3,52.0,44.0
1754586236,card4,49.0,43.0
1754586236,card5,46.0,40.0
1754586236,card6,50.0,44.0
1754586236,card7,45.0,39.0
1754586236,
1754586241,card0,51.0,44.0
1754586241,card1,48.0,39.0
1754586241,card2,47.0,41.0
1754586241,card3,52.0,44.0
1754586241,card4,49.0,43.0
1754586241,card5,46.0,39.0
1754586241,card6,50.0,44.0
1754586241,card7,45.0,39.0
1754586241,
1754586247,card0,52.0,45.0
1754586247,card1,48.0,39.0
1754586247,card2,47.0,41.0
1754586247,card3,52.0,44.0
1754586247,card4,49.0,43.0
1754586247,card5,46.0,39.0
1754586247,card6,50.0,44.0
1754586247,card7,45.0,39.0
1754586247,
1754586252,card0,52.0,45.0
1754586252,card1,48.0,39.0
1754586252,card2,47.0,41.0
1754586252,card3,52.0,44.0
1754586252,card4,49.0,43.0
1754586252,card5,46.0,39.0
1754586252,card6,50.0,43.0
1754586252,card7,45.0,39.0
1754586252,
1754586257,card0,53.0,47.0
1754586257,card1,48.0,39.0
1754586257,card2,47.0,41.0
1754586257,card3,52.0,44.0
1754586257,card4,49.0,43.0
1754586257,card5,46.0,39.0
1754586257,card6,50.0,43.0
1754586257,card7,45.0,39.0
1754586257,
1754586262,card0,56.0,49.0
1754586262,card1,48.0,39.0
1754586262,card2,47.0,41.0
1754586262,card3,52.0,44.0
1754586262,card4,49.0,43.0
1754586262,card5,46.0,40.0
1754586262,card6,50.0,44.0
1754586262,card7,45.0,39.0
1754586262,
1754586267,card0,56.0,48.0
1754586267,card1,48.0,39.0
1754586267,card2,47.0,41.0
1754586267,card3,52.0,44.0
1754586267,card4,49.0,43.0
1754586267,card5,46.0,39.0
1754586267,card6,50.0,44.0
1754586267,card7,45.0,39.0
1754586267,
1754586272,card0,54.0,47.0
1754586272,card1,48.0,39.0
1754586272,card2,47.0,41.0
1754586272,card3,52.0,45.0
1754586272,card4,49.0,43.0
1754586272,card5,46.0,39.0
1754586272,card6,50.0,44.0
1754586272,card7,45.0,39.0
1754586272,
1754586277,card0,53.0,46.0
1754586277,card1,48.0,39.0
1754586277,card2,47.0,41.0
1754586277,card3,52.0,45.0
1754586277,card4,49.0,43.0
1754586277,card5,46.0,39.0
1754586277,card6,50.0,44.0
1754586277,card7,45.0,39.0
1754586277,
1754586283,card0,53.0,46.0
1754586283,card1,48.0,39.0
1754586283,card2,47.0,41.0
1754586283,card3,52.0,45.0
1754586283,card4,49.0,44.0
1754586283,card5,46.0,39.0
1754586283,card6,50.0,44.0
1754586283,card7,45.0,39.0
1754586283,
1754586288,card0,53.0,46.0
1754586288,card1,48.0,39.0
1754586288,card2,47.0,41.0
1754586288,card3,52.0,44.0
1754586288,card4,49.0,44.0
1754586288,card5,46.0,40.0
1754586288,card6,50.0,43.0
1754586288,card7,45.0,39.0
1754586288,
1754586293,card0,52.0,45.0
1754586293,card1,47.0,39.0
1754586293,card2,47.0,41.0
1754586293,card3,52.0,44.0
1754586293,card4,49.0,43.0
1754586293,card5,46.0,39.0
1754586293,card6,50.0,43.0
1754586293,card7,45.0,39.0
1754586293,
1754586298,card0,53.0,46.0
1754586298,card1,47.0,39.0
1754586298,card2,47.0,41.0
1754586298,card3,52.0,44.0
1754586298,card4,49.0,43.0
1754586298,card5,46.0,39.0
1754586298,card6,49.0,44.0
1754586298,card7,45.0,38.0
1754586298,
1754586303,card0,54.0,64.0
1754586303,card1,47.0,39.0
1754586303,card2,47.0,41.0
1754586303,card3,52.0,44.0
1754586303,card4,49.0,43.0
1754586303,card5,46.0,39.0
1754586303,card6,49.0,43.0
1754586303,card7,45.0,39.0
1754586303,
1754586308,card0,60.0,68.0
1754586308,card1,47.0,39.0
1754586308,card2,47.0,41.0
1754586308,card3,52.0,44.0
1754586308,card4,49.0,43.0
1754586308,card5,46.0,39.0
1754586308,card6,49.0,44.0
1754586308,card7,45.0,39.0
1754586308,
1754586313,card0,62.0,70.0
1754586313,card1,47.0,39.0
1754586313,card2,47.0,41.0
1754586313,card3,52.0,44.0
1754586313,card4,49.0,43.0
1754586313,card5,46.0,39.0
1754586313,card6,50.0,43.0
1754586313,card7,45.0,39.0
1754586313,
1754586319,card0,63.0,71.0
1754586319,card1,48.0,39.0
1754586319,card2,47.0,41.0
1754586319,card3,52.0,44.0
1754586319,card4,49.0,43.0
