timestamp,cpu_user_percent,cpu_system_percent,cpu_idle_percent,load_avg_1min
1754585903,0.9,0.8,97.4,0.53
1754585908,10.0,1.1,87.5,0.65
1754585913,0.4,0.6,98.1,0.92
1754585918,0.5,0.6,98.4,0.92
1754585924,0.6,0.5,98.9,1.01
1754585929,0.8,0.4,97.9,1.01
1754585934,0.8,0.3,97.9,1.25
1754585939,2.6,1.8,83.8,3.71
1754585944,0.9,0.2,98.9,3.57
1754585950,0.8,0.5,97.8,3.37
1754585955,0.9,0.2,98.9,3.34
1754585960,0.9,0.2,98.9,3.15
1754585965,1.0,0.9,98.0,3.06
1754585970,0.9,0.2,98.9,3.05
1754585976,0.8,0.3,98.1,2.97
1754585981,0.7,0.3,98.8,2.81
1754585986,0.9,0.2,98.6,2.67
1754585991,0.8,0.3,98.7,2.53
1754585997,0.8,0.3,98.2,2.41
1754586002,0.9,0.2,98.5,2.30
1754586007,1.0,0.7,98.3,2.19
1754586012,1.0,0.8,98.2,2.32
1754586017,0.8,0.5,98.0,2.21
1754586023,0.8,0.3,98.5,2.11
1754586028,0.2,0.2,99.3,2.58
1754586033,0.2,0.3,98.8,2.38
1754586038,0.0,0.2,99.5,2.19
1754586043,0.1,0.2,99.4,2.01
1754586049,0.1,0.2,99.2,1.85
1754586054,0.1,0.4,99.1,1.70
1754586059,0.1,0.3,99.5,1.57
1754586064,0.8,0.3,98.4,1.60
1754586069,0.6,0.6,98.7,1.55
1754586075,0.7,0.4,98.8,1.51
1754586080,0.7,0.7,97.7,1.63
1754586085,1.2,0.4,98.4,1.66
1754586090,3.3,1.9,94.8,1.69
1754586095,0.9,0.4,98.7,1.71
1754586101,0.8,0.4,98.8,1.73
1754586106,0.9,0.3,98.8,1.68
1754586111,0.9,0.3,98.8,1.70
1754586116,1.0,1.0,97.7,1.81
1754586122,0.8,0.5,98.4,2.06
1754586127,1.0,0.4,98.4,1.98
1754586132,1.1,0.5,98.4,1.98
1754586137,1.1,0.7,98.0,1.91
1754586142,1.0,0.6,98.2,1.83
1754586148,1.2,0.7,97.0,1.77
1754586153,1.4,0.5,98.0,1.79
1754586158,1.0,0.8,97.6,1.80
1754586163,1.2,0.9,98.0,1.82
1754586169,1.1,0.6,97.8,1.75
1754586174,0.1,0.3,99.5,1.85
1754586179,0.1,0.4,98.9,2.35
1754586184,0.6,0.4,99.0,2.16
1754586189,0.6,0.6,98.7,1.99
1754586195,0.2,0.4,99.4,1.83
1754586200,0.2,0.4,98.6,1.68
1754586205,0.4,0.4,99.2,1.54
1754586210,1.0,0.6,98.4,1.42
1754586215,0.6,0.7,98.2,1.39
1754586221,4.7,0.4,94.6,1.36
1754586226,0.8,0.8,98.0,1.33
1754586231,1.1,0.5,98.3,1.30
1754586236,1.1,0.5,98.2,1.28
1754586241,1.3,0.8,97.8,3.82
1754586247,0.8,0.4,98.6,3.59
1754586252,1.0,0.8,97.9,3.38
1754586257,0.9,0.2,98.7,3.19
1754586262,1.0,0.9,97.8,3.09
1754586268,0.9,0.3,98.5,3.00
1754586273,0.9,0.4,98.2,2.92
1754586278,0.9,0.4,98.6,2.85
1754586283,0.8,0.4,98.8,2.70
1754586288,0.8,0.4,98.3,2.56
1754586294,0.8,0.3,98.8,2.52
1754586299,0.8,0.4,98.7,2.40
1754586304,1.2,0.9,97.6,2.28
1754586309,1.2,1.1,97.6,2.50
1754586314,1.3,1.1,97.0,2.38
1754586320,1.2,1.0,97.6,2.83
1754586325,1.0,0.7,98.0,2.68
1754586330,0.9,0.9,98.0,2.71
1754586335,1.2,0.9,97.3,2.57
1754586341,1.0,0.8,98.3,2.53
1754586346,1.0,0.8,97.9,2.48
1754586351,1.0,0.9,97.7,2.53
1754586356,0.9,0.8,98.2,2.56
1754586361,1.0,0.8,98.1,2.60
1754586367,1.0,0.8,97.8,2.63
1754586372,1.0,0.7,97.7,2.58
1754586377,1.2,0.7,97.8,2.53
1754586382,1.3,1.0,97.1,2.53
1754586387,0.9,0.7,98.2,2.41
1754586393,0.9,0.4,98.6,2.38
1754586398,0.1,0.3,99.4,2.83
1754586403,0.1,0.3,99.4,2.60
1754586408,0.1,0.3,99.1,2.39
1754586413,0.3,0.5,98.8,2.28
1754586419,0.3,0.4,99.1,2.10
1754586424,0.1,0.2,99.6,1.93
1754586429,0.1,0.3,99.5,1.77
1754586434,0.7,0.4,98.8,1.87
1754586439,0.5,0.8,98.2,1.80
1754586445,0.8,0.5,98.6,1.74
1754586450,0.8,0.9,97.9,1.84
1754586455,1.2,0.7,98.1,1.93
1754586460,1.1,1.0,97.8,1.94
1754586466,1.5,0.9,97.6,1.86
1754586471,0.9,0.5,98.6,1.79
1754586476,0.7,1.1,97.9,1.89
